,id_order,payment_type,payment_installments,payment_value
140,81563,credit_card,4,97.28
141,61898,credit_card,1,48.61
142,53425,boleto,1,116.7
143,93104,credit_card,1,41.42
144,5127,boleto,1,42.19
145,59541,credit_card,6,125.53
146,13085,credit_card,5,92.76
147,48452,credit_card,8,348.02
148,76838,credit_card,2,203.3
149,88176,credit_card,3,44.35
150,10524,credit_card,10,116.05
151,24843,boleto,1,85.14
152,7403,credit_card,4,236.66
153,16320,credit_card,4,220.3
154,23923,credit_card,1,180.55
155,43326,boleto,1,45.46
156,29413,boleto,1,26.08
157,74235,credit_card,1,375.74
158,65190,credit_card,5,123.41
159,44961,credit_card,10,379.07
160,59131,credit_card,10,2027.16
161,47903,credit_card,1,45.5
162,99715,credit_card,1,91.17
163,2957,boleto,1,93.26
164,37088,voucher,1,30.0
165,22983,credit_card,10,165.96
166,41103,voucher,1,50.0
167,18669,credit_card,10,1002.73
168,50161,boleto,1,116.56
169,21797,credit_card,2,240.52
170,41624,credit_card,3,33.13
171,46589,credit_card,1,213.9
172,82109,credit_card,8,362.17
173,15992,credit_card,2,88.72
174,78809,credit_card,2,46.85
175,10264,boleto,1,68.54
176,10666,boleto,1,32.62
177,88218,credit_card,8,340.08
178,16867,boleto,1,82.06
179,39474,credit_card,1,40.95
180,20516,credit_card,3,67.01
181,40598,voucher,1,20.0
182,58162,voucher,1,76.9
183,36631,credit_card,4,40.27
184,20563,credit_card,8,242.1
185,9174,boleto,1,207.24
186,91097,credit_card,2,215.56
187,63894,credit_card,1,39.92
188,45902,credit_card,8,156.09
189,60771,credit_card,2,131.5
190,39641,boleto,1,137.73
191,74470,credit_card,1,31.75
192,83321,credit_card,8,348.77
193,6654,credit_card,1,12.22
194,52689,credit_card,4,139.87
195,81117,credit_card,12,257.1
196,71772,credit_card,3,269.46
197,57535,credit_card,1,40.0
198,60482,credit_card,10,350.09
199,32171,credit_card,6,134.55
200,22190,credit_card,3,112.73
201,86068,boleto,1,72.05
202,73411,credit_card,1,0.67
203,21768,credit_card,2,77.77
204,9402,credit_card,2,26.68
205,99030,credit_card,1,371.42
206,16358,credit_card,6,225.71
207,29708,credit_card,3,103.79
208,44436,boleto,1,65.0
209,54873,voucher,1,69.8
210,23958,voucher,1,20.09
211,44485,credit_card,1,125.41
212,24335,boleto,1,95.99
213,98247,credit_card,2,25.33
214,82132,credit_card,1,52.57
215,70991,credit_card,2,145.58
216,65713,credit_card,3,49.7
217,502,credit_card,1,47.43
218,78767,credit_card,2,168.57
219,58658,credit_card,1,133.81
220,54500,voucher,1,1.23
221,2579,boleto,1,123.82
222,30754,credit_card,3,283.66
223,20639,credit_card,1,89.88
224,80198,boleto,1,32.38
225,34239,credit_card,1,43.08
226,41217,credit_card,1,254.58
227,57512,voucher,1,48.91
228,45794,credit_card,4,48.22
229,67886,credit_card,6,67.58
230,91269,credit_card,10,311.18
231,85231,credit_card,4,154.14
232,4206,credit_card,2,333.68
233,84077,boleto,1,404.88
234,55953,boleto,1,44.77
235,66098,voucher,1,1302.42
236,21058,credit_card,10,645.8
237,64821,credit_card,1,186.39
238,22214,credit_card,10,208.41
239,69129,debit_card,1,76.39
240,73313,credit_card,2,67.42
241,3453,credit_card,4,232.05
242,20017,boleto,1,69.33
243,88447,credit_card,3,641.2
244,66251,boleto,1,41.86
245,90240,voucher,1,50.0
246,29269,credit_card,1,106.96
247,54409,credit_card,10,2288.31
248,99341,boleto,1,69.9
249,92468,boleto,1,88.08
250,73859,credit_card,4,117.39
251,53852,debit_card,1,194.91
252,48186,debit_card,1,68.89
253,37308,credit_card,2,151.51
254,95469,credit_card,1,54.85
255,90247,credit_card,1,103.68
256,7112,debit_card,1,225.63
257,37724,boleto,1,39.6
258,21982,credit_card,10,159.18
259,10746,credit_card,1,234.43
260,8036,boleto,1,44.83
261,14274,credit_card,4,205.44
262,53463,credit_card,1,13.55
263,26774,credit_card,1,221.96
264,72695,credit_card,1,52.38
265,44796,credit_card,9,131.47
266,86850,credit_card,2,38.06
267,17447,voucher,1,35.0
268,62140,credit_card,3,143.65
269,7018,credit_card,3,86.73
270,32537,credit_card,5,118.35
271,94472,credit_card,1,341.58
272,82815,credit_card,2,105.42
273,40930,credit_card,4,68.16
274,50834,credit_card,10,357.97
275,18594,voucher,1,2.99
276,2730,boleto,1,92.57
277,93902,credit_card,2,68.35
278,58199,credit_card,13,197.23
279,4669,credit_card,3,153.67
280,5523,credit_card,3,46.43
281,1655,credit_card,4,102.03
282,68145,credit_card,5,119.45
283,95556,credit_card,1,44.23
284,1167,credit_card,1,67.5
285,1960,voucher,1,8.75
286,49103,credit_card,2,44.27
287,26021,credit_card,1,37.15
288,62752,credit_card,2,114.13
289,68032,credit_card,1,396.97
290,1897,credit_card,10,185.85
291,85639,credit_card,3,62.11
292,18458,credit_card,2,25.23
293,42635,credit_card,5,153.22
294,10462,debit_card,1,145.01
295,27639,boleto,1,70.89
296,66760,credit_card,6,114.34
297,25656,credit_card,2,31.38
298,69572,credit_card,5,256.5
299,14154,boleto,1,341.4
300,29108,credit_card,1,143.99
301,26429,voucher,1,84.88
302,71352,credit_card,8,232.27
303,74196,credit_card,5,194.0
304,9560,credit_card,1,260.57
305,98959,credit_card,1,49.59
306,39696,credit_card,3,196.55
307,48511,boleto,1,245.94
308,88369,voucher,1,72.42
309,81107,credit_card,2,217.15
310,82320,credit_card,4,152.28
311,20368,credit_card,3,72.34
312,79584,credit_card,5,128.95
313,77610,credit_card,1,56.85
314,29723,credit_card,1,20.29
315,33542,boleto,1,171.75
316,91376,credit_card,1,85.82
317,83260,boleto,1,56.05
318,73580,boleto,1,26.09
319,24458,credit_card,1,41.17
320,66841,boleto,1,37.25
321,1810,credit_card,5,135.13
322,69742,credit_card,5,477.45
323,65836,credit_card,2,440.12
324,24548,credit_card,1,67.7
325,15723,boleto,1,168.51
326,35158,boleto,1,31.86
327,23971,boleto,1,40.87
328,63121,credit_card,10,109.59
329,92737,credit_card,3,206.87
330,98191,credit_card,1,134.38
331,93135,credit_card,1,56.06
332,70383,credit_card,3,264.08
333,9775,credit_card,10,240.77
334,24946,credit_card,2,91.72
335,87687,credit_card,4,49.01
336,37753,boleto,1,107.87
337,60012,credit_card,3,62.01
338,27114,credit_card,1,36.69
339,39606,credit_card,3,35.0
340,98786,credit_card,8,256.37
341,42658,credit_card,1,47.84
342,16444,credit_card,5,125.87
343,92381,credit_card,1,42.39
344,69203,credit_card,5,117.53
345,29650,credit_card,1,43.28
346,89339,credit_card,4,144.54
347,9227,boleto,1,126.48
348,20881,credit_card,4,125.29
349,63676,credit_card,2,229.74
350,34035,credit_card,1,124.6
351,10585,boleto,1,143.86
352,90908,voucher,1,56.89
353,2153,boleto,1,46.78
354,12639,voucher,1,3.98
355,49861,credit_card,3,72.66
356,26731,boleto,1,50.1
357,61092,boleto,1,85.79
358,79708,boleto,1,63.7
359,81485,credit_card,10,1586.47
360,91562,credit_card,3,433.07
361,56708,credit_card,10,642.02
362,15741,credit_card,4,263.95
363,23255,boleto,1,134.99
364,66233,credit_card,1,57.89
365,53210,credit_card,1,383.99
366,2376,boleto,1,159.31
367,92720,credit_card,1,756.91
368,14557,credit_card,7,156.22
369,89096,credit_card,10,132.95
370,691,boleto,1,48.27
371,57735,credit_card,5,107.35
372,8974,credit_card,10,110.2
373,58979,credit_card,8,368.92
374,27657,boleto,1,106.85
375,10649,credit_card,8,281.5
376,86496,credit_card,2,54.25
377,31104,credit_card,5,121.78
378,1181,credit_card,2,102.26
379,3369,boleto,1,90.62
380,38412,boleto,1,75.69
381,98209,debit_card,1,42.86
382,50428,credit_card,1,35.7
383,52392,credit_card,10,444.25
384,53994,credit_card,1,69.16
385,14657,voucher,1,30.0
386,12539,credit_card,2,65.71
387,71505,credit_card,1,29.29
388,17290,credit_card,1,37.74
389,65629,voucher,1,30.0
390,25535,credit_card,2,145.9
391,21437,credit_card,1,79.88
392,22790,credit_card,5,108.0
393,6938,credit_card,6,348.74
394,36832,credit_card,6,88.78
395,40056,credit_card,4,953.71
396,95934,credit_card,6,125.77
397,51731,credit_card,3,64.05
398,13884,boleto,1,127.69
399,68385,credit_card,1,62.42
400,86614,credit_card,5,55.69
401,68252,credit_card,7,146.13
402,79925,credit_card,5,349.99
403,53004,credit_card,1,91.28
404,67816,boleto,1,108.64
405,62140,credit_card,2,158.98
406,61160,credit_card,1,20.75
407,58167,boleto,1,72.9
408,38255,credit_card,3,543.83
409,82676,credit_card,2,67.12
410,9494,credit_card,6,139.07
411,88161,boleto,1,126.68
412,25791,credit_card,1,41.42
413,57939,boleto,1,203.16
414,96110,credit_card,8,540.02
415,20543,boleto,1,368.6
416,85009,credit_card,4,107.78
417,62769,credit_card,10,387.27
418,13512,credit_card,10,107.23
419,31820,credit_card,2,101.25
420,59121,credit_card,1,26.09
421,70594,boleto,1,244.35
422,50039,credit_card,10,117.85
423,94862,credit_card,3,171.32
424,38423,credit_card,10,202.44
425,86634,boleto,1,73.03
426,9103,credit_card,4,264.67
427,41600,credit_card,1,68.7
428,71427,boleto,1,55.13
429,78191,credit_card,2,92.99
430,37735,credit_card,3,36.0
431,53901,credit_card,1,17.87
432,39467,credit_card,1,58.38
433,74052,voucher,1,50.0
434,5500,credit_card,10,1995.69
435,97554,credit_card,3,130.14
436,8174,boleto,1,710.23
437,8354,credit_card,1,68.0
438,91676,credit_card,5,59.51
439,783,credit_card,5,371.94
440,33421,credit_card,10,667.99
441,28460,credit_card,1,63.89
442,87773,credit_card,4,49.34
443,35537,boleto,1,147.0
444,53098,credit_card,1,354.64
445,36581,credit_card,4,59.71
446,14809,credit_card,8,408.66
447,13384,credit_card,5,51.66
448,54170,credit_card,2,386.46
449,66194,credit_card,2,69.54
450,64172,credit_card,1,21.94
451,86897,credit_card,1,52.34
452,59532,credit_card,1,114.25
453,47280,credit_card,2,162.83
454,69920,credit_card,1,172.92
455,84991,credit_card,7,81.72
456,14604,credit_card,2,151.79
457,69012,credit_card,4,243.62
458,4120,boleto,1,56.42
459,78071,credit_card,4,45.13
460,63067,boleto,1,108.64
461,94383,credit_card,4,64.51
462,68099,credit_card,8,193.5
463,54792,boleto,1,110.63
464,80465,credit_card,5,200.55
465,98365,credit_card,1,41.71
466,5148,credit_card,1,54.43
467,69216,credit_card,3,77.64
468,64903,boleto,1,280.08
469,75912,credit_card,5,101.34
470,96827,credit_card,1,77.57
471,86330,credit_card,4,60.2
472,1453,boleto,1,48.1
473,61669,boleto,1,76.02
474,10193,credit_card,2,84.56
475,90020,voucher,1,20.0
476,56996,credit_card,4,48.16
477,78537,debit_card,1,265.41
478,6461,credit_card,5,127.53
479,29884,credit_card,2,128.73
480,30590,credit_card,3,37.37
481,22372,credit_card,5,150.15
482,66999,credit_card,2,36.16
483,33267,credit_card,4,198.0
484,11028,credit_card,5,112.4
485,75893,credit_card,1,35.4
486,80623,credit_card,6,189.98
487,18172,credit_card,2,228.6
488,79525,credit_card,8,314.21
489,80679,credit_card,1,22.29
490,69198,credit_card,8,257.3
491,31794,credit_card,6,162.99
492,28079,boleto,1,51.03
493,69280,credit_card,12,190.09
494,58928,credit_card,7,374.24
495,54606,credit_card,5,53.15
496,89921,credit_card,2,88.2
497,92519,voucher,1,25.9
498,1813,credit_card,1,46.81
499,76827,boleto,1,131.47
500,92454,credit_card,3,258.71
501,15140,credit_card,1,84.23
502,33982,credit_card,10,156.73
503,17951,boleto,1,69.9
504,18478,boleto,1,48.13
505,97484,credit_card,6,187.15
506,25728,credit_card,3,69.99
507,58244,voucher,1,25.0
508,37017,credit_card,2,162.1
509,51825,credit_card,1,57.11
510,17603,credit_card,1,154.87
511,26828,credit_card,4,236.81
512,60367,credit_card,1,102.53
513,6918,credit_card,3,65.1
514,609,boleto,1,93.64
515,56145,boleto,1,64.09
516,68295,credit_card,5,279.4
517,95590,credit_card,5,205.43
518,61143,credit_card,4,89.57
519,52715,boleto,1,75.07
520,98273,credit_card,4,63.23
521,69972,credit_card,1,0.52
522,53078,credit_card,10,231.27
523,47851,boleto,1,41.69
524,84239,credit_card,4,69.41
525,36110,credit_card,1,72.75
526,55576,credit_card,2,24.29
527,61714,credit_card,5,88.49
528,26549,credit_card,7,71.66
529,40166,credit_card,2,80.81
530,42162,credit_card,2,132.82
531,70899,credit_card,7,394.07
532,5177,credit_card,2,165.5
533,62872,credit_card,2,98.47
534,59900,credit_card,2,49.77
535,16775,credit_card,8,180.91
536,67322,credit_card,4,40.63
537,41746,debit_card,1,71.63
538,53309,credit_card,5,262.94
539,16824,credit_card,3,62.22
540,97433,credit_card,5,311.57
541,4089,debit_card,1,93.22
542,85374,boleto,1,100.21
543,96156,credit_card,4,125.43
544,39663,boleto,1,80.55
545,42014,credit_card,2,373.44
546,54818,credit_card,3,62.31
547,50849,debit_card,1,36.35
548,1401,credit_card,2,29.38
549,30569,credit_card,10,102.47
550,26321,credit_card,3,130.0
551,8463,credit_card,5,69.13
552,29948,credit_card,1,86.24
553,92955,credit_card,1,74.29
554,55655,credit_card,7,70.72
555,31837,credit_card,3,199.0
556,84800,credit_card,3,340.47
557,44468,credit_card,4,48.74
558,81064,credit_card,2,28.08
559,14746,voucher,1,59.9
560,30180,credit_card,1,166.29
561,91359,boleto,1,51.1
562,36905,credit_card,1,67.83
563,73439,credit_card,3,164.35
564,78023,boleto,1,79.09
565,32169,boleto,1,93.69
566,97878,credit_card,2,59.82
567,26118,credit_card,3,159.03
568,660,credit_card,9,92.57
569,19157,credit_card,4,42.77
570,46167,credit_card,8,453.74
571,71197,credit_card,3,234.08
572,93387,credit_card,2,67.62
573,83609,credit_card,1,19.33
574,65686,credit_card,3,143.18
575,10064,credit_card,4,112.83
576,67334,boleto,1,85.92
577,11072,credit_card,4,102.05
578,30421,credit_card,3,134.12
579,66165,credit_card,1,112.13
580,74848,credit_card,1,70.75
581,48547,credit_card,7,77.6
582,29828,credit_card,1,197.04
583,48777,credit_card,1,93.18
584,93147,boleto,1,44.72
585,13555,credit_card,1,26.38
586,99597,debit_card,1,149.14
587,16117,credit_card,4,106.32
588,24246,credit_card,8,246.96
589,76514,credit_card,1,22.29
590,69147,credit_card,3,57.48
591,61374,credit_card,4,105.28
592,63763,credit_card,8,203.54
593,29838,credit_card,2,330.4
594,44702,boleto,1,108.68
595,30520,boleto,1,415.93
596,12211,credit_card,10,314.21
597,25809,credit_card,1,206.08
598,74630,credit_card,1,27.7
599,39722,boleto,1,19.48
600,67124,credit_card,2,121.09
601,95096,credit_card,1,206.76
602,23518,credit_card,1,142.21
603,27017,boleto,1,73.34
604,74344,credit_card,1,72.62
605,8022,credit_card,1,86.24
606,75498,boleto,1,230.1
607,4503,boleto,1,206.14
608,93573,boleto,1,212.73
609,30262,credit_card,1,94.82
610,84122,boleto,1,126.44
611,5085,voucher,1,140.08
612,38742,credit_card,1,68.87
613,11181,credit_card,2,87.58
614,17982,credit_card,10,305.19
615,97250,credit_card,5,161.88
616,42252,debit_card,1,88.08
617,9347,credit_card,3,92.5
618,67642,credit_card,1,43.0
619,50878,credit_card,2,116.36
620,8166,boleto,1,64.48
621,30028,boleto,1,37.69
622,88067,credit_card,2,150.52
623,17218,credit_card,6,314.3
624,14272,credit_card,8,396.35
625,7341,debit_card,1,98.33
626,506,credit_card,1,120.92
627,70606,credit_card,1,76.17
628,93753,credit_card,1,104.43
629,79941,credit_card,1,105.94
630,97536,credit_card,3,110.04
631,6388,boleto,1,730.95
632,74896,credit_card,4,128.77
633,1844,credit_card,8,82.1
634,52832,boleto,1,53.39
635,6539,credit_card,3,61.79
636,51669,boleto,1,86.83
637,52218,credit_card,1,45.3
638,65590,credit_card,1,25.5
639,56540,voucher,1,103.79
640,6568,credit_card,6,114.28
641,16246,credit_card,2,57.78
642,44583,credit_card,1,124.15
643,56461,credit_card,3,64.1
644,59665,credit_card,10,179.92
645,64576,boleto,1,40.01
646,58415,credit_card,5,104.27
647,40469,credit_card,8,307.96
648,36247,credit_card,2,31.29
649,10376,credit_card,1,38.13
650,38314,voucher,1,52.01
651,4596,credit_card,1,35.05
652,38703,credit_card,8,186.49
653,60214,credit_card,4,99.95
654,59216,credit_card,4,215.62
655,48863,credit_card,3,206.2
656,86861,boleto,1,55.06
657,72253,credit_card,1,21.04
658,49494,credit_card,1,26.45
659,64913,credit_card,1,127.53
660,47690,credit_card,10,223.14
661,6012,credit_card,2,56.41
662,25337,boleto,1,566.63
663,71256,credit_card,2,39.41
664,46393,credit_card,6,148.64
665,41998,credit_card,4,64.0
666,29192,credit_card,3,151.09
667,74684,boleto,1,93.91
668,32354,credit_card,2,71.14
669,92929,credit_card,3,188.06
670,228,credit_card,2,257.21
671,91689,credit_card,4,692.94
672,16303,credit_card,8,181.1
673,48426,boleto,1,202.26
674,67169,credit_card,3,164.15
675,55591,credit_card,10,137.13
676,5023,credit_card,1,2.01
677,59033,boleto,1,272.58
678,9299,credit_card,4,87.36
679,18515,voucher,1,16.54
680,57843,credit_card,4,234.19
681,72368,boleto,1,86.37
682,37564,boleto,1,33.0
683,26154,credit_card,1,10.89
684,30543,credit_card,4,84.14
685,16608,boleto,1,43.28
686,7124,credit_card,1,47.95
687,906,boleto,1,76.08
688,24058,boleto,1,104.37
689,67688,credit_card,1,69.61
690,44897,credit_card,3,121.09
691,54689,credit_card,7,238.65
692,16531,credit_card,4,181.59
693,41381,credit_card,2,135.26
694,57061,credit_card,3,51.09
695,67629,credit_card,3,1783.44
696,74465,credit_card,3,145.01
697,77835,credit_card,10,231.27
698,95004,boleto,1,70.03
699,70842,credit_card,10,1432.92
700,9572,voucher,1,45.24
701,24079,voucher,1,50.0
702,8752,credit_card,1,64.01
703,12213,credit_card,6,148.18
704,50212,credit_card,1,171.53
705,16748,credit_card,3,86.15
706,56771,debit_card,1,22.79
707,83896,credit_card,2,58.16
708,79567,boleto,1,149.42
709,90645,credit_card,1,44.53
710,27142,credit_card,2,152.82
711,46077,credit_card,8,82.92
712,53298,boleto,1,66.69
713,84685,boleto,1,52.75
714,33311,credit_card,5,105.94
715,55786,credit_card,8,413.31
716,18949,credit_card,3,112.09
717,87987,credit_card,4,186.36
718,72743,credit_card,3,165.22
719,63325,credit_card,3,49.02
720,96189,debit_card,1,173.68
721,45146,credit_card,2,205.07
722,31382,credit_card,1,21.04
723,88349,credit_card,2,132.68
724,99966,credit_card,1,36.09
725,67988,boleto,1,66.44
726,82281,boleto,1,161.62
727,89718,credit_card,1,27.75
728,72501,credit_card,1,91.28
729,59147,voucher,1,81.93
730,19791,credit_card,2,167.92
731,2413,credit_card,1,61.36
732,27671,credit_card,2,60.0
733,48272,credit_card,3,39.01
734,70939,credit_card,3,39.78
735,59555,credit_card,2,64.23
736,45858,credit_card,4,186.92
737,64600,credit_card,2,43.29
738,59405,credit_card,1,59.13
739,97851,credit_card,3,33.51
740,16296,debit_card,1,33.1
741,75767,voucher,1,148.06
742,44641,credit_card,2,189.56
743,88298,credit_card,5,105.38
744,17125,boleto,1,69.06
745,57125,voucher,1,85.24
746,73774,credit_card,5,179.46
747,16708,credit_card,1,168.35
748,31192,voucher,1,100.0
749,88478,credit_card,1,77.89
750,91141,credit_card,1,99.43
751,76466,credit_card,1,407.9
752,6530,voucher,1,15.0
753,58192,credit_card,2,424.04
754,29647,credit_card,3,157.2
755,60747,credit_card,4,162.03
756,98520,credit_card,8,188.5
757,52752,credit_card,1,65.47
758,29178,credit_card,1,39.42
759,81667,credit_card,5,365.32
760,64645,credit_card,6,65.11
761,86298,credit_card,10,188.34
762,1832,boleto,1,35.4
763,69255,credit_card,10,590.72
764,47704,boleto,1,36.75
765,97838,credit_card,2,81.73
766,98033,credit_card,1,17.86
767,50179,boleto,1,108.97
768,93034,credit_card,10,569.66
769,88721,credit_card,4,48.13
770,36790,credit_card,2,63.1
771,67176,boleto,1,39.42
772,17025,boleto,1,74.03
773,74885,boleto,1,66.78
774,5878,credit_card,1,36.59
775,88222,credit_card,5,272.64
776,22357,credit_card,1,64.34
777,30539,boleto,1,49.05
778,12218,credit_card,7,163.69
779,13381,credit_card,6,443.85
780,48442,credit_card,6,165.31
781,50929,credit_card,10,1180.51
782,68388,credit_card,1,706.84
783,59857,voucher,1,20.0
784,97247,credit_card,1,135.97
785,50226,credit_card,1,56.99
786,45546,credit_card,1,43.58
787,41972,credit_card,4,48.15
788,16509,credit_card,1,76.87
789,65703,credit_card,1,2.78
790,4997,credit_card,2,123.59
791,12155,boleto,1,128.07
792,85241,credit_card,2,185.84
793,68329,credit_card,1,85.81
794,27686,credit_card,1,149.54
795,52124,credit_card,1,32.38
796,18683,credit_card,1,23.38
797,74573,credit_card,1,98.86
798,81952,credit_card,8,124.21
799,41361,credit_card,6,191.58
800,77539,credit_card,2,123.04
801,96565,credit_card,1,26.38
802,22852,credit_card,2,71.49
803,67502,credit_card,1,153.98
804,96012,credit_card,1,55.91
805,6270,credit_card,6,86.06
806,13158,credit_card,1,33.1
807,75363,credit_card,10,360.29
808,3015,credit_card,10,105.24
809,99869,credit_card,3,114.85
810,76135,voucher,1,0.01
811,10773,credit_card,1,65.57
812,63473,credit_card,3,88.9
813,98266,credit_card,1,76.78
814,40384,credit_card,10,680.96
815,67923,voucher,1,27.91
816,85842,credit_card,2,61.79
817,17261,credit_card,1,40.96
818,10964,credit_card,2,149.0
819,56449,credit_card,7,75.7
820,54812,credit_card,4,356.9
821,24993,credit_card,2,165.96
822,97195,credit_card,2,61.19
823,86064,credit_card,1,43.37
824,80046,credit_card,2,40.86
825,55519,credit_card,1,84.81
826,6675,voucher,1,8.24
827,47226,credit_card,3,191.93
828,39199,credit_card,1,32.72
829,32066,boleto,1,32.77
830,92141,credit_card,5,50.5
831,28054,credit_card,3,37.05
832,29935,credit_card,1,70.36
833,90035,credit_card,1,38.0
834,33630,boleto,1,196.81
835,39148,boleto,1,46.84
836,59368,credit_card,10,367.2
837,22132,credit_card,4,195.36
838,93068,credit_card,7,144.8
839,75269,boleto,1,28.62
840,78858,boleto,1,160.74
841,63646,voucher,1,103.59
842,13568,credit_card,1,10.39
843,52744,credit_card,1,31.75
844,88354,credit_card,5,116.23
845,95615,credit_card,4,40.43
846,37923,boleto,1,66.64
847,71493,voucher,1,17.01
848,58826,boleto,1,189.96
849,40579,boleto,1,170.37
850,64872,credit_card,2,50.9
851,7135,credit_card,1,133.64
852,71279,boleto,1,543.29
853,673,credit_card,2,42.75
854,51429,credit_card,2,161.01
855,19066,boleto,1,72.83
856,84388,boleto,1,1605.14
857,25930,boleto,1,130.6
858,62167,credit_card,1,69.67
859,92175,credit_card,2,70.97
860,51964,credit_card,10,255.76
861,21267,credit_card,4,75.4
862,10174,credit_card,3,109.93
863,61934,credit_card,1,71.14
864,73271,credit_card,3,113.33
865,8322,credit_card,1,292.86
866,46078,credit_card,2,129.15
867,34788,credit_card,7,177.67
868,6411,credit_card,1,27.48
869,1441,credit_card,1,140.94
870,10213,boleto,1,23.0
871,55209,credit_card,1,49.09
872,30783,credit_card,1,84.79
873,3030,boleto,1,111.02
874,99035,credit_card,1,42.44
875,62627,credit_card,1,210.56
876,55163,credit_card,4,42.74
877,80277,boleto,1,50.1
878,63441,credit_card,1,67.23
879,39757,credit_card,4,46.66
880,4083,credit_card,1,201.05
881,19740,credit_card,4,81.47
882,57957,boleto,1,79.69
883,33374,credit_card,4,45.12
884,64172,boleto,1,250.04
